#   date / x  / uncertainty  / y  / uncertainty (mas)   
     1905.65   -67.846    28.256      135.598    20.885 
     1905.70    14.037    23.029      151.407    22.182 
     1905.75   -34.403    30.475      175.804    21.521 
     1905.80   -31.721    28.070       49.970    29.042 
     1905.85    25.746    26.045       80.453    24.204 
     1905.90    24.021    23.876      -56.728    24.447 
     1905.95    40.706    25.939       -6.383    31.653 
     1906.00     3.853    27.774      -26.096    22.568 
     1906.05   -17.613    37.626      -75.020    28.373 
     1906.10  -157.406    27.525      -92.487    19.150 
     1906.15   -67.506    39.670      -80.298    24.017 
     1906.20  -149.450    19.538     -119.103    21.544 
     1906.25  -128.247    21.258      -61.169    19.210 
     1906.30  -179.648    19.342      -57.693    15.619 
     1906.35  -186.449    28.318      -44.109    17.466 
     1906.40  -208.575    17.756      -19.448    17.400 
     1906.45  -217.870    27.036       42.944    19.247 
     1906.50  -199.891    26.352       58.881    22.948 
     1906.55  -173.543    14.562       70.934    14.278 
     1906.60  -182.003    14.184      113.024    20.481 
     1906.65  -142.776    20.805       95.154    18.992 
     1906.70   -93.740    23.427       95.224    19.026 
     1906.75   -93.900    30.400      111.200    29.700 
     1906.80  -102.758    20.273       78.405    19.941 
     1906.85    -9.641    37.790      137.918    23.678 
     1906.90  -126.885    17.403       77.766    14.954 
     1906.95   -85.940    24.352      122.947    33.076 
     1907.00   -79.416    24.620      150.174    23.710 
     1907.05   -67.350    25.143       41.498    35.409 
     1907.10   -27.042    44.273       24.883    37.921 
     1907.15   -69.913    23.457       39.794    19.305 
     1907.20   -59.194    25.568      -25.833    19.658 
     1907.25   -32.978    27.136      -10.025    21.118 
     1907.30   -32.298    18.376      -79.952    18.100 
     1907.35   -12.800    19.968      -38.790    15.828 
     1907.40   -94.517    18.850      -51.596    19.350 
     1907.45   -89.447    22.296     -124.297    19.779 
     1907.50  -131.771    19.108      -98.748    17.119 
     1907.55  -109.356    15.221     -122.489    14.661 
     1907.60  -134.764    18.056      -84.340    15.443 
     1907.65  -150.915    13.218      -95.204    11.457 
     1907.70  -183.652    13.853      -70.567    12.711 
     1907.75  -247.755    15.944      -37.271    14.847 
     1907.80  -276.782    22.683        6.594    13.921 
     1907.85  -260.675    20.328      115.176    26.887 
     1907.90  -279.309    22.735       66.165    18.080 
     1907.95  -247.411    24.711      158.512    31.173 
     1908.00  -179.825    22.677      190.418    19.382 
     1908.05  -162.104    25.046      175.855    28.444 
     1908.10   -73.775    28.891      244.495    24.516 
     1908.15   -88.534    27.458      184.551    17.033 
     1908.20    72.181    33.438      185.212    26.915 
     1908.25     0.811    23.430      129.285    25.494 
     1908.30    94.290    22.523      125.029    16.876 
     1908.35    98.031    15.570       48.028    14.659 
     1908.40    85.376    19.153      -37.173    15.904 
     1908.45   110.614    25.853      -53.618    24.285 
     1908.50   110.175    26.610     -121.985    25.563 
     1908.55    62.891    22.400     -147.259    19.060 
     1908.60    16.036    21.495     -174.778    23.275 
     1908.65   -44.507    19.073     -258.578    21.281 
     1908.70  -126.698    19.826     -236.805    14.026 
     1908.75  -185.227    18.908     -279.032    16.051 
     1908.80  -218.671    14.651     -234.349    16.957 
     1908.85  -258.124    22.801     -193.490    17.680 
     1908.90  -348.498    23.013     -117.029    19.986 
     1908.95  -441.656    45.827      -87.821    24.170 
     1909.00  -418.026    30.202       32.515    29.485 
     1909.05  -464.700    23.300       53.100    21.200 
     1909.10  -381.402    29.397       81.369    26.583 
     1909.15  -331.872    24.908      208.343    22.250 
     1909.20  -262.800    25.300      230.900    20.400 
     1909.25  -180.022    21.604      262.477    15.586 
     1909.30   -88.674    20.876      272.316    18.026 
     1909.35   -17.300    24.900      301.900    20.400 
     1909.40    82.311    16.643      293.915    15.624 
     1909.45   145.682    19.466      242.356    24.029 
     1909.50   159.939    21.629      145.514    16.260 
     1909.55   219.001    15.849       50.735    15.308 
     1909.60   251.107    17.083       38.325    12.976 
     1909.65   216.000    17.200      -92.100    14.200 
     1909.70   239.771    33.367     -129.218    18.723 
     1909.75   122.030    26.859     -229.024    21.510 
     1909.80   -27.219    18.091     -280.542    14.742 
     1909.85   -97.816    31.222     -318.227    20.306 
     1909.90  -212.272    20.651     -273.213    13.760 
     1909.95  -262.295    16.361     -211.841    19.362 
     1910.00  -323.074    27.015     -200.846    37.795 
     1910.05  -442.329    27.265     -257.217    23.282 
     1910.10  -448.532    41.123     -107.453    27.419 
     1910.15  -408.744    21.087       30.815    32.683 
     1910.20  -414.020    27.029       -6.268    22.893 
     1910.25  -385.676    29.272      162.890    37.814 
     1910.30  -368.387    14.246      272.702    23.082 
     1910.35  -268.774    14.096      293.213    17.618 
     1910.40  -147.573    33.402      342.824    31.269 
     1910.45   -81.273    36.206      328.529    24.940 
     1910.50   -20.932    18.243      388.520    21.784 
     1910.55   105.674    15.903      327.555    15.193 
     1910.60   176.301    25.502      312.524    18.735 
     1910.65   191.756    47.195      171.612    29.191 
     1910.70   222.257    17.196       91.742    15.870 
     1910.75   211.332    16.710       -9.012    16.112 
     1910.80   205.000    20.700     -105.700    17.200 
     1910.85   120.900    20.101     -162.494    21.135 
     1910.90    83.916    23.956     -253.801    24.007 
     1910.95   -57.477    33.626     -280.025    25.436 
     1911.00   -89.579    28.621     -260.914    27.948 
     1911.05  -218.786    29.820     -263.597    35.792 
